Distance,Diameter,Radius,,Text File Input
13.7034,1.54934,0.77467,,13.7034 0.77467 0
13.7103,1.54896,0.77448,,13.7103 0.77448 0
13.7116,1.54889,0.774445,,13.7116 0.774445 0
13.7349,1.54729,0.773645,,13.7349 0.773645 0
13.7378,1.54706,0.77353,,13.7378 0.77353 0
13.7798,1.54307,0.771535,,13.7798 0.771535 0
13.8227,1.54161,0.770805,,13.8227 0.770805 0
13.8312,1.54128,0.77064,,13.8312 0.77064 0
13.8784,1.54186,0.77093,,13.8784 0.77093 0
13.892,1.54208,0.77104,,13.892 0.77104 0
13.9258,1.54251,0.771255,,13.9258 0.771255 0
13.9266,1.54254,0.77127,,13.9266 0.77127 0
13.9578,1.54287,0.771435,,13.9578 0.771435 0
14.0037,1.54502,0.77251,,14.0037 0.77251 0
14.013,1.54543,0.772715,,14.013 0.772715 0
14.0643,1.54825,0.774125,,14.0643 0.774125 0
14.0761,1.54923,0.774615,,14.0761 0.774615 0
14.0939,1.55015,0.775075,,14.0939 0.775075 0
14.1528,1.55459,0.777295,,14.1528 0.777295 0
14.1751,1.55783,0.778915,,14.1751 0.778915 0
14.1981,1.56105,0.780525,,14.1981 0.780525 0
14.2404,1.56851,0.784255,,14.2404 0.784255 0
14.2483,1.56991,0.784955,,14.2483 0.784955 0
14.2565,1.5713,0.78565,,14.2565 0.78565 0
14.2874,1.57633,0.788165,,14.2874 0.788165 0
14.3067,1.57976,0.78988,,14.3067 0.78988 0
14.3329,1.58375,0.791875,,14.3329 0.791875 0
14.3615,1.58708,0.79354,,14.3615 0.79354 0
14.4395,1.60135,0.800675,,14.4395 0.800675 0
14.4643,1.60777,0.803885,,14.4643 0.803885 0
14.4833,1.61024,0.80512,,14.4833 0.80512 0
14.4991,1.6122,0.8061,,14.4991 0.8061 0
14.5205,1.6145,0.80725,,14.5205 0.80725 0
14.5206,1.61451,0.807255,,14.5206 0.807255 0
14.5347,1.61672,0.80836,,14.5347 0.80836 0
14.5622,1.62087,0.810435,,14.5622 0.810435 0
14.6011,1.62703,0.813515,,14.6011 0.813515 0
14.6094,1.62887,0.814435,,14.6094 0.814435 0
