Distance,Diameter,Radius,,text,,,FFR
9.37837,1.62499,0.812495,,9.37837 0.812495 0,,,
9.37854,1.62503,0.812515,,9.37854 0.812515 0,,,
9.38695,1.62711,0.813555,,9.38695 0.813555 0,,,
9.38699,1.62712,0.81356,,9.38699 0.81356 0,,,
9.39877,1.62951,0.814755,,9.39877 0.814755 0,,,
9.39895,1.62956,0.81478,,9.39895 0.81478 0,,,
9.42161,1.63538,0.81769,,9.42161 0.81769 0,,,
9.43069,1.63687,0.818435,,9.43069 0.818435 0,,,
9.46239,1.641,0.8205,,9.46239 0.8205 0,,,
9.48008,1.64348,0.82174,,9.48008 0.82174 0,,,
9.53872,1.65085,0.825425,,9.53872 0.825425 0,,,
9.53875,1.65086,0.82543,,9.53875 0.82543 0,,,
9.54675,1.65205,0.826025,,9.54675 0.826025 0,,,
9.56033,1.65283,0.826415,,9.56033 0.826415 0,,,
9.57832,1.65295,0.826475,,9.57832 0.826475 0,,,
9.57931,1.65293,0.826465,,9.57931 0.826465 0,,,
9.65129,1.65472,0.82736,,9.65129 0.82736 0,,,
9.67827,1.65714,0.82857,,9.67827 0.82857 0,,,
